SdkName,SdkType,Metric,Run,Value
applovin,Advertising,Energy,28,90.849473733418
applovin,Advertising,Energy,29,91.6569111138498
applovin,Advertising,Energy,30,98.621731779417
mopub,Advertising,Energy,1,96.3972191708681
mopub,Advertising,Energy,2,96.3559875457789
mopub,Advertising,Energy,3,91.5231250910368
mopub,Advertising,Energy,4,91.9092056358064
mopub,Advertising,Energy,5,98.5797811457568
mopub,Advertising,Energy,6,92.7735606619709
mopub,Advertising,Energy,7,91.1190953277429
mopub,Advertising,Energy,8,91.9531686966976
mopub,Advertising,Energy,9,91.242128290606
mopub,Advertising,Energy,10,99.0076736574283
mopub,Advertising,Energy,11,99.110763386329
mopub,Advertising,Energy,12,96.6652011717496
mopub,Advertising,Energy,13,97.141766806585
mopub,Advertising,Energy,14,92.5230710759949
mopub,Advertising,Energy,15,93.4398598692675
mopub,Advertising,Energy,16,97.1256788773189
mopub,Advertising,Energy,17,98.8442615579443
mopub,Advertising,Energy,18,97.1049271056267
mopub,Advertising,Energy,19,99.1423287702098
mopub,Advertising,Energy,20,99.2982549458456
mopub,Advertising,Energy,21,91.7699385427359
mopub,Advertising,Energy,22,97.5454747425399
mopub,Advertising,Energy,23,92.2809718910666
mopub,Advertising,Energy,24,92.3807939085972
mopub,Advertising,Energy,25,98.1100898690276
mopub,Advertising,Energy,26,98.4869292862992
mopub,Advertising,Energy,27,98.9878913587361
mopub,Advertising,Energy,28,99.5250669310074
mopub,Advertising,Energy,29,92.4631188380745
mopub,Advertising,Energy,30,97.3058858141072
admob,Advertising,Memory,1,67.9202473958333
admob,Advertising,Memory,2,68.8397352430556
admob,Advertising,Memory,3,68.6725260416667
admob,Advertising,Memory,4,67.2217881944444
admob,Advertising,Memory,5,67.5257161458333
admob,Advertising,Memory,6,68.310546875
admob,Advertising,Memory,7,67.1255425347223
admob,Advertising,Memory,8,63.0884331597223
admob,Advertising,Memory,9,66.1446397569444
admob,Advertising,Memory,10,65.4282769097223
admob,Advertising,Memory,11,67.3491753472223
admob,Advertising,Memory,12,63.7253689236111
admob,Advertising,Memory,13,65.1467013888889
admob,Advertising,Memory,14,67.8759765625
admob,Advertising,Memory,15,64.5865885416667
admob,Advertising,Memory,16,62.6356336805556
admob,Advertising,Memory,17,66.8269314236111
admob,Advertising,Memory,18,66.9361979166667
admob,Advertising,Memory,19,67.341796875
admob,Advertising,Memory,20,64.7440321180556
admob,Advertising,Memory,21,69.3960503472223
admob,Advertising,Memory,22,66.7433810763889
admob,Advertising,Memory,23,63.4491102430556
admob,Advertising,Memory,24,67.6520182291667
admob,Advertising,Memory,25,68.2892795138889
admob,Advertising,Memory,26,68.3719618055556
