"firstIndividual","secondIndividual","group","variable","firstValue","secondValue","difference","percentage","pvalue","significant","effect"
"acra","crashlytics","Crash reporter","APK size",1.45392513275,1.56108760834,-0.10716247559,-6.86460356340618,0,1,NA
"acra","crashlytics","Crash reporter","CPU",0.2,0.142857142857143,0.057142857142857,28.5714285714285,0.0695891471484934,0,"-"
"acra","crashlytics","Crash reporter","Energy",98.0629172750112,98.3221784988959,-0.259261223884693,-0.263685394122552,0.197313248162444,0,"-"
"acra","crashlytics","Crash reporter","Memory",21.4272026909722,34.0997488839286,-12.6725461929564,-37.1631657350094,1.69112338921448e-17,1,"large"
"acra","crashlytics","Crash reporter","Network",0.0224609375,0.048828125,-0.0263671875,-54,9.03897861581345e-13,1,"large"
"acra","crashlytics","Crash reporter","Permissions",1,1,0,0,0,1,NA
"acra","newrelic","Crash reporter","APK size",1.45392513275,1.60483455658,-0.15090942383,-9.40342561862558,0,1,NA
"acra","newrelic","Crash reporter","CPU",0.2,0,0.2,100,1.56297502066154e-09,1,"large"
"acra","newrelic","Crash reporter","Energy",98.0629172750112,98.2168299623091,-0.153912687297904,-0.156707040287259,0.708193052904424,0,"-"
"acra","newrelic","Crash reporter","Memory",21.4272026909722,32.3935546875,-10.9663519965278,-33.853499877738,3.01796679849045e-11,1,"large"
"acra","newrelic","Crash reporter","Network",0.0224609375,0.0283203125,-0.005859375,-20.6896551724138,6.25924890811351e-13,1,"large"
"acra","newrelic","Crash reporter","Permissions",1,2,-1,-50,0,1,NA
"admob","applovin","Advertising","APK size",2.13437175751,2.13302898407,0.00134277343999978,0.0629118819284924,0,1,NA
"admob","applovin","Advertising","CPU",5.81944444444444,3.33333333333333,2.48611111111111,42.7207637231504,0.00333510422283211,1,"medium"
"admob","applovin","Advertising","Energy",91.3782272025674,93.8103246614587,-2.43209745889129,-2.5925690670704,0.00410505373719414,1,"medium"
"admob","applovin","Advertising","Memory",67.2714301215277,47.8142903645833,19.4571397569444,28.9233330134272,1.69112338921448e-17,1,"large"
"admob","applovin","Advertising","Network",0.30859375,0.3828125,-0.07421875,-19.3877551020408,0.519784793092395,0,"-"
"admob","applovin","Advertising","Permissions",5,3,2,40,0,1,NA
"admob","mopub","Advertising","APK size",2.13437175751,2.26520442963,-0.13083267212,-5.77575561872666,0,1,NA
"admob","mopub","Advertising","CPU",5.81944444444444,7,-1.18055555555556,-16.8650793650794,0.340187814430733,0,"-"
"admob","mopub","Advertising","Energy",91.3782272025674,96.8850641386882,-5.50683693612079,-5.6838863503645,5.7551252390363e-06,1,"large"
"admob","mopub","Advertising","Memory",67.2714301215277,65.5400933159722,1.7313368055555,2.57365839023757,0.0155110431673641,1,"medium"
"admob","mopub","Advertising","Network",0.30859375,0.31201171875,-0.00341796875,-1.09546165884194,0.112655499610275,0,"-"
"admob","mopub","Advertising","Permissions",5,2,3,60,0,1,NA
"applovin","mopub","Advertising","APK size",2.13302898407,2.26520442963,-0.13217544556,-5.83503386409982,0,1,NA
"applovin","mopub","Advertising","CPU",3.33333333333333,7,-3.66666666666667,-52.3809523809524,2.27321273485437e-07,1,"large"
"applovin","mopub","Advertising","Energy",93.8103246614587,96.8850641386882,-3.0747394772295,-3.17359492359741,0.0496199999646562,1,"small"
"applovin","mopub","Advertising","Memory",47.8142903645833,65.5400933159722,-17.7258029513889,-27.0457395688039,4.84151715098213e-13,1,"large"
"applovin","mopub","Advertising","Network",0.3828125,0.31201171875,0.07080078125,18.4948979591837,0.347606654289449,0,"-"
"applovin","mopub","Advertising","Permissions",3,2,1,33.3333333333333,0,1,NA
"crashlytics","newrelic","Crash reporter","APK size",1.56108760834,1.60483455658,-0.0437469482399999,-2.72594754771653,0,1,NA
"crashlytics","newrelic","Crash reporter","CPU",0.142857142857143,0,0.142857142857143,100,1.68343506539139e-09,1,"large"
"crashlytics","newrelic","Crash reporter","Energy",98.3221784988959,98.2168299623091,0.105348536586789,0.10714625956744,0.279422296877117,0,"-"
"crashlytics","newrelic","Crash reporter","Memory",34.0997488839286,32.3935546875,1.7061941964286,5.00353888891169,0.0635289727738155,0,"-"
"crashlytics","newrelic","Crash reporter","Network",0.048828125,0.0283203125,0.0205078125,42,1.73379156457744e-10,1,"large"
"crashlytics","newrelic","Crash reporter","Permissions",1,2,-1,-50,0,1,NA
"firebase","flurry","Analytics","APK size",2.00193500519,2.33451652527,-0.33258152008,-14.2462696871051,0,1,NA
"firebase","flurry","Analytics","CPU",1.65833333333333,1.5,0.15833333333333,9.54773869346716,0.100569667280811,0,"-"
"firebase","flurry","Analytics","Energy",213.489599059874,213.995051916243,-0.505452856369004,-0.236198384889215,0.187178639832089,0,"-"
"firebase","flurry","Analytics","Memory",35.5668057528408,36.1670809659092,-0.6002752130684,-1.65972812026001,4.86725394437982e-06,1,"large"
