Time(ms),Main(mA),Main Voltage(V),
0.03108811378479004,477.57166470007115,4.0,
0.050328969955444336,461.553270330256,3.999625,
0.08022713661193848,575.4204613156863,3.99925,
0.10868310928344727,599.7584868698242,3.9998750000000003,
0.1374039649963379,571.9436005222381,3.999375,
0.1374039649963379,578.0281069107725,3.999625,
0.16759109497070312,575.9171557147504,3.9998750000000003,
0.19771814346313477,594.5431956796517,3.9985,
0.22657108306884766,615.5285340401073,3.9995000000000003,
0.22657108306884766,616.5219228382354,3.999625,
0.25617003440856934,605.4091409598238,3.999375,
0.28647398948669434,688.3316970724263,3.999625,
0.31583094596862793,804.8949907696325,3.99975,
0.34369397163391113,862.7421631475858,3.998125,
0.34369397163391113,868.2041279214696,4.0,
0.3763620853424072,865.224874408442,3.99925,
0.4065229892730713,854.5492159867597,3.999375,
0.4355001449584961,907.6792369690859,3.9987500000000002,
0.4355001449584961,860.3835874497721,3.997875,
0.4645371437072754,543.837901690586,3.9991250000000003,
0.49256300926208496,905.1965257082295,4.000125,
0.5214710235595703,880.3308899555228,3.9995000000000003,
0.5506350994110107,858.1115964837182,4.00025,
0.5506350994110107,844.5814121908315,3.998875,
0.5788290500640869,1110.7164133279778,4.0035,
0.6147141456604004,1543.5581805692225,3.99675,
0.6567931175231934,1658.9992025177048,3.997875,
0.6567931175231934,1640.3796828485947,3.999,
0.6866719722747803,1566.3981246966644,3.9998750000000003,
0.7145540714263916,1415.7041455080002,3.9983750000000002,
0.7430839538574219,1388.271386528845,3.999625,
0.7713170051574707,1287.0375176279379,4.0005,
0.7713170051574707,1407.3248782164287,3.9962500000000003,
0.7994551658630371,1347.6156723928332,3.99575,
0.8277380466461182,1292.375346838779,3.998125,
0.8562180995941162,1335.5745227776797,3.9945,
0.8562180995941162,1679.0576257171574,3.9975,
0.8847179412841797,1398.3871176773457,3.9958750000000003,
0.9125020503997803,1265.065522969359,3.9995000000000003,
0.9399840831756592,1527.3639676788337,3.997375,
0.9679560661315918,797.4468569870634,4.0,
0.9679560661315918,795.4606879783782,3.999625,
0.9988970756530762,937.2235009732766,3.99925,
1.027886152267456,782.3023182958395,3.999375,
1.057063102722168,588.154297696872,3.999625,
1.057063102722168,589.2715177642575,4.0,
1.084341049194336,692.6764417789249,3.9998750000000003,
1.1127080917358398,576.1131480817187,3.99925,
1.1404800415039062,558.4858981296386,4.000125,
1.1692261695861816,563.2030495252657,3.99975,
1.1692261695861816,572.513216753477,3.99925,
1.2212319374084473,544.8309861949285,3.999375,
1.2511799335479736,561.5892872057091,3.99975,
1.2802050113677979,557.7696846381122,3.999375,
1.2802050113677979,566.5798398348433,3.9985,
1.3089771270751953,539.777114165915,3.999375,
1.3472609519958496,541.5143278666789,3.9998750000000003,
1.3766281604766846,533.4486928274181,4.00025,
1.404392957687378,548.0909225909992,4.00075,
1.404392957687378,539.5289407800916,4.00025,
1.434023141860962,550.2003963704982,3.99975,
1.4735970497131348,544.8646685752949,3.999,
1.50291109085083,539.0325940084448,3.999625,
1.50291109085083,538.0399004651512,3.9987500000000002,
1.5316059589385986,529.2297452684201,3.9995000000000003,
1.5592329502105713,559.2587249530526,3.99825,
1.5880019664764404,539.777114165915,3.999625,
1.6283669471740723,537.7917270793278,4.0,
1.6283669471740723,537.7917270793278,3.9985,
1.6568801403045654,538.908507315533,3.998875,
1.6868500709533691,674.4111759751145,3.999625,
1.7159790992736816,636.6888213299563,3.9991250000000003,
1.7159790992736816,640.0391620385723,3.999,
1.7444710731506348,555.4120374727897,3.9998750000000003,
1.7743971347808838,537.2079770485592,4.0,
1.8035290241241455,564.2482307997913,3.9991250000000003,
1.8337881565093994,532.2464625987918,3.999375,
1.8337881565093994,533.734916933722,3.9987500000000002,
1.8631501197814941,548.1233088380474,3.999625,
1.8916521072387695,536.463749881094,3.9991250000000003,
1.9216370582580566,555.5655805126984,3.9983750000000002,
1.9216370582580566,557.1780727088727,3.998875,
1.9515740871429443,538.6964313834894,3.9995000000000003,
1.981929063796997,556.4338455414077,3.99975,
2.012140989303589,535.719522713629,3.99975,
2.0404341220855713,555.31750479021,3.9995000000000003,
2.0404341220855713,553.0848232878147,3.999375,
2.069401979446411,530.7580082638616,3.99975,
2.1008450984954834,555.4415426514541,3.9987500000000002,
2.1293740272521973,519.5946007518851,3.9998750000000003,
2.1293740272521973,527.657061732757,3.998625,
2.160072088241577,554.0771261777682,3.99925,
2.1907341480255127,564.8684201060121,3.99925,
2.2221550941467285,535.719522713629,3.9995000000000003,
2.2579410076141357,547.931640577242,3.999,
2.2579410076141357,553.6353870055183,3.9995000000000003,
2.3027729988098145,534.2922469444072,3.999625,
2.3318331241607666,527.2245611528474,3.99975,
2.3595941066741943,554.9993263688018,3.99975,
2.3595941066741943,555.123320856373,3.999,
2.3905129432678223,533.052302068695,3.99925,
2.4192819595336914,556.7352491947989,3.9995000000000003,
2.4472501277923584,530.6964068048418,3.99975,
2.475316047668457,550.0395468659528,3.9998750000000003,
2.4763050079345703,555.7432932942291,3.999375,
2.5055091381073,553.5113925179471,3.99975,
2.534546136856079,538.6085113696864,3.999375,
2.563995122909546,551.3793853731574,3.9998750000000003,
2.563995122909546,548.155669605291,3.9995000000000003,
2.593156099319458,537.1206425537481,3.99975,
2.621829032897949,551.751352577142,4.00075,
2.651648998260498,538.4845223016916,3.99975,
2.6808550357818604,552.8672541890958,3.999625,
2.6808550357818604,556.4629371609468,3.9991250000000003,
2.7105209827423096,534.516872125856,3.9998750000000003,
2.7396609783172607,551.9993307131317,3.998875,
2.769850015640259,522.3202840992667,3.999,
2.769850015640259,525.419739855849,3.99975,
2.799078941345215,555.4224715795667,3.999,
2.837033987045288,555.1745151190402,3.999375,
2.872892141342163,537.8175628821787,3.999375,
2.903080940246582,551.0832335203513,3.999625,
2.903080940246582,537.5696064216521,3.9995000000000003,
