SdkName,SdkType,Run,Metric,MinValue,AvgValue,MedValue,MaxValue
acra,CrashReporting,28,Memory,0,19775.9,24589.5,32755
acra,CrashReporting,29,Memory,10516,21960.6666666667,25609,32735
acra,CrashReporting,2,Memory,8405,24993.6,24556,33043
acra,CrashReporting,30,Memory,10524,22642.9,24657,32637
acra,CrashReporting,3,Memory,10521,23177.9,25490,34620
acra,CrashReporting,4,Memory,10545,22014.1111111111,25729,32701
acra,CrashReporting,5,Memory,8476,21517.1,24633,34708
acra,CrashReporting,6,Memory,8681,21328.1,24650.5,32687
acra,CrashReporting,7,Memory,8889,21473.5,24681.5,33679
acra,CrashReporting,8,Memory,10516,22383.3,24649,32691
acra,CrashReporting,9,Memory,10520,21719.9,24540,32635
crashlytics,CrashReporting,10,Memory,13610,31660.8571428571,35893,37443
crashlytics,CrashReporting,11,Memory,11754,33178.2857142857,36985,37366
crashlytics,CrashReporting,12,Memory,27124,35777.4285714286,37452,37752
crashlytics,CrashReporting,13,Memory,24408,34998.5714285714,36401,37459
crashlytics,CrashReporting,14,Memory,24020,34887.4285714286,36644,37386
crashlytics,CrashReporting,15,Memory,27697,35053.5714285714,36038,37573
crashlytics,CrashReporting,16,Memory,23745,34908.5714285714,37059,37396
crashlytics,CrashReporting,17,Memory,10471,32871.7142857143,36612,37440
crashlytics,CrashReporting,18,Memory,8016,32569.1428571429,35932,37492
crashlytics,CrashReporting,19,Memory,7285,32388.5714285714,35840,37396
crashlytics,CrashReporting,1,Memory,10346,32882.2857142857,35875,37431
crashlytics,CrashReporting,20,Memory,23882,34927.7142857143,37017,37372
crashlytics,CrashReporting,21,Memory,27179,35400.8571428571,37013,37346
crashlytics,CrashReporting,22,Memory,31919,36152.2857142857,37133,37466
crashlytics,CrashReporting,23,Memory,25027,35149.8571428571,37129,37465
crashlytics,CrashReporting,24,Memory,23852,34383.4285714286,35914,37454
crashlytics,CrashReporting,25,Memory,11911,33247.2857142857,37093,37426
crashlytics,CrashReporting,26,Memory,26816,35429.2857142857,37191,37522
crashlytics,CrashReporting,27,Memory,23004,34259.8571428571,35910,37459
crashlytics,CrashReporting,28,Memory,14272,33549,37008,37392
crashlytics,CrashReporting,29,Memory,11461,33162.2857142857,36800,37491
crashlytics,CrashReporting,2,Memory,26849,35346.8571428571,36880,37379
crashlytics,CrashReporting,30,Memory,29876,35927,37185,37522
crashlytics,CrashReporting,3,Memory,27046,35441.8571428571,37136,37466
crashlytics,CrashReporting,4,Memory,11739,33363.2857142857,37189,37556
crashlytics,CrashReporting,5,Memory,24164,35034.7142857143,36910,37472
crashlytics,CrashReporting,6,Memory,27600,35536.5714285714,37055,37452
