SdkName,SdkType,Run,Metric,MinValue,AvgValue,MedValue,MaxValue
admob,Ads,7,Memory,7420,68736.5555555556,82938,87232
admob,Ads,8,Memory,13052,64602.5555555556,76651,76882
admob,Ads,9,Memory,12847,67732.1111111111,81683,84885
applovin,Ads,10,Memory,10591,45545.8888888889,44107,62779
applovin,Ads,11,Memory,11976,40218.5555555556,43642,44537
applovin,Ads,12,Memory,8600,56398,71892,75848
applovin,Ads,13,Memory,12532,49356.6666666667,57855,64222
applovin,Ads,14,Memory,12320,44976.2222222222,43654,58559
applovin,Ads,15,Memory,13701,50748.7777777778,44528,79044
applovin,Ads,16,Memory,13700,48993.1111111111,58016,59793
applovin,Ads,17,Memory,11841,58021.8888888889,44546,114006
applovin,Ads,18,Memory,12348,52632.7777777778,46944,79635
applovin,Ads,19,Memory,12217,48474.5555555556,58389,58945
applovin,Ads,1,Memory,12274,53477.6666666667,46469,74812
applovin,Ads,20,Memory,8930,47572.5555555556,44107,76396
applovin,Ads,21,Memory,10109,46476.8888888889,44852,74569
applovin,Ads,22,Memory,13292,51599.7777777778,44485,81016
applovin,Ads,23,Memory,8934,51678.6666666667,46502,88248
applovin,Ads,24,Memory,13266,50737.1111111111,44499,77660
applovin,Ads,25,Memory,10890,46856.1111111111,44319,59238
applovin,Ads,26,Memory,11567,56553.1111111111,70908,77851
applovin,Ads,27,Memory,13410,51265.8888888889,44286,79526
applovin,Ads,28,Memory,12483,42956.8888888889,43852,65684
applovin,Ads,29,Memory,7124,46456.5555555556,43886,59530
applovin,Ads,2,Memory,12199,47894,44573,75775
applovin,Ads,30,Memory,9895,49464.4444444444,44245,72804
applovin,Ads,3,Memory,12483,57067.7777777778,72402,74508
applovin,Ads,4,Memory,8711,48893.3333333333,57918,62183
applovin,Ads,5,Memory,12806,47642.5555555556,49302,58941
applovin,Ads,6,Memory,14548,50628.4444444444,46534,85191
applovin,Ads,7,Memory,8775,42842.1111111111,43561,59039
applovin,Ads,8,Memory,13228,48930.5555555556,58112,63059
applovin,Ads,9,Memory,12238,46806.7777777778,44070,58717
mopub,Ads,10,Memory,11230,68739.8888888889,83646,87374
mopub,Ads,11,Memory,11909,69731.8888888889,83306,88092
mopub,Ads,12,Memory,13330,68049.6666666667,83093,83395
mopub,Ads,13,Memory,11702,68221,82900,86593
mopub,Ads,14,Memory,13564,39961.5555555556,43157,43399
mopub,Ads,15,Memory,11296,67200.7777777778,83613,84195
mopub,Ads,16,Memory,12894,65438,84335,88067
mopub,Ads,17,Memory,13772,67887.2222222222,82549,83281
mopub,Ads,18,Memory,13126,64708.6666666667,78305,87868
mopub,Ads,19,Memory,15048,66323.5555555556,81771,87868
mopub,Ads,1,Memory,12639,63895.5555555556,82678,83551
mopub,Ads,20,Memory,10008,64948.5555555556,77027,86758
mopub,Ads,21,Memory,10762,67025.3333333333,83067,87698
mopub,Ads,22,Memory,11474,65531.5555555556,82600,84092
mopub,Ads,23,Memory,13017,69867.7777777778,85319,89050
mopub,Ads,24,Memory,12390,68369.2222222222,83733,84392
mopub,Ads,25,Memory,13275,69737.7777777778,84210,89063
mopub,Ads,26,Memory,12615,68308.8888888889,83202,88364
mopub,Ads,27,Memory,15099,65328,78305,88343
mopub,Ads,28,Memory,11112,69685.6666666667,87466,87768
mopub,Ads,29,Memory,11036,69746,85126,89145
mopub,Ads,2,Memory,13047,64871,78590,84003
mopub,Ads,30,Memory,12025,66610.7777777778,83791,84430
mopub,Ads,3,Memory,11303,68831.7777777778,83396,87272
mopub,Ads,4,Memory,12729,64369.2222222222,78335,82315
mopub,Ads,5,Memory,12884,69708.7777777778,82939,86871
mopub,Ads,6,Memory,11703,65705,77904,81884
mopub,Ads,7,Memory,9832,64609.4444444444,77426,86634
mopub,Ads,8,Memory,12832,69029.1111111111,83393,93586
mopub,Ads,9,Memory,7207,63945.2222222222,78544,82965
