SdkName,SdkType,Run,Value
admob,Ads,10,97.7047413164635
admob,Ads,11,93.2819210926875
admob,Ads,12,90.8464466417275
admob,Ads,13,91.4369358358246
admob,Ads,14,90.9680934229174
admob,Ads,15,91.15353531976
admob,Ads,16,97.6408420173469
admob,Ads,17,92.2366127137638
admob,Ads,18,91.8535898002444
admob,Ads,19,91.692273660778
admob,Ads,1,89.6993655959296
admob,Ads,20,90.2327249911113
admob,Ads,21,93.0481810012332
admob,Ads,22,90.8154508646758
admob,Ads,23,91.2254379388624
admob,Ads,24,90.5152577186564
admob,Ads,25,99.0085863200733
admob,Ads,26,94.2903555855398
admob,Ads,27,90.3360239174761
admob,Ads,28,90.4691491079753
admob,Ads,29,90.666856015751
admob,Ads,2,90.6363045443916
admob,Ads,30,96.9349675920729
admob,Ads,3,90.2016840469653
admob,Ads,4,91.3195185693102
admob,Ads,5,90.530444845116
admob,Ads,6,95.372399321302
admob,Ads,7,91.5970152787436
admob,Ads,8,91.4608047862334
admob,Ads,9,92.0610797856436
applovin,Ads,10,91.1186051867913
applovin,Ads,11,93.1254605713655
applovin,Ads,12,97.8720518468901
applovin,Ads,13,90.9734017307921
applovin,Ads,14,94.0713371093732
applovin,Ads,15,93.0949892498592
applovin,Ads,16,92.386651592163
applovin,Ads,17,97.6666412356383
applovin,Ads,18,98.7312251796148
applovin,Ads,19,97.6878997476598
applovin,Ads,1,95.9522816821355
applovin,Ads,20,92.5301938563589
applovin,Ads,21,96.2878780762527
applovin,Ads,22,96.8981680947053
applovin,Ads,23,93.4407828462089
applovin,Ads,24,88.5098512063797
applovin,Ads,25,91.2360800100351
applovin,Ads,26,95.2113673788422
applovin,Ads,27,96.3277429265916
applovin,Ads,28,90.849473733418
applovin,Ads,29,91.6569111138498
applovin,Ads,2,98.6587281705928
applovin,Ads,30,98.621731779417
applovin,Ads,3,95.4281176425334
applovin,Ads,4,90.1999894240095
applovin,Ads,5,94.0181050847098
applovin,Ads,6,91.8708781749292
applovin,Ads,7,91.4014053396583
applovin,Ads,8,96.6846199644384
applovin,Ads,9,93.6025442382076
mopub,Ads,10,99.0076736574283
mopub,Ads,11,99.110763386329
mopub,Ads,12,96.6652011717496
mopub,Ads,13,97.141766806585
mopub,Ads,14,92.5230710759949
mopub,Ads,15,93.4398598692675
mopub,Ads,16,97.1256788773189
mopub,Ads,17,98.8442615579443
mopub,Ads,18,97.1049271056267
mopub,Ads,19,99.1423287702098
mopub,Ads,1,96.3972191708681
mopub,Ads,20,99.2982549458456
mopub,Ads,21,91.7699385427359
mopub,Ads,22,97.5454747425399
mopub,Ads,23,92.2809718910666
mopub,Ads,24,92.3807939085972
mopub,Ads,25,98.1100898690276
mopub,Ads,26,98.4869292862992
mopub,Ads,27,98.9878913587361
mopub,Ads,28,99.5250669310074
mopub,Ads,29,92.4631188380745
mopub,Ads,2,96.3559875457789
mopub,Ads,30,97.3058858141072
mopub,Ads,3,91.5231250910368
mopub,Ads,4,91.9092056358064
mopub,Ads,5,98.5797811457568
mopub,Ads,6,92.7735606619709
mopub,Ads,7,91.1190953277429
mopub,Ads,8,91.9531686966976
mopub,Ads,9,91.242128290606
